City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.08,82.56,78,69,9.24,MV,1600397488
Somanda,-3.37,33.95,61.47,53,56,6.11,TZ,1600397489
Castro,-42.47,-73.77,46.0,83,64,4.14,CL,1600397489
Rivera,-30.91,-55.55,56.32,89,0,4.43,UY,1600397489
Yellowknife,62.46,-114.35,46.4,70,75,12.75,CA,1600397490
Te Anau,-45.42,167.72,44.35,83,100,7.27,NZ,1600397490
Wittmund,53.57,7.78,48.2,76,0,5.82,DE,1600397490
Lorengau,-2.02,147.27,85.77,69,95,6.4,PG,1600397491
Saint-Philippe,-21.36,55.77,66.2,59,42,8.05,RE,1600397491
Ribeira Grande,38.52,-28.7,70.5,78,57,16.4,PT,1600397491
Port Alfred,-33.59,26.89,56.95,77,0,10.78,ZA,1600397491
Haines Junction,60.75,-137.51,43.68,67,99,10.13,CA,1600397492
Butaritari,3.07,172.79,82.27,73,96,12.19,KI,1600397492
Santa Quitéria,-4.33,-40.16,69.96,81,0,3.42,BR,1600397287
Mossamedes,-15.2,12.15,58.86,85,0,2.71,AO,1600397493
Ushuaia,-54.8,-68.3,30.2,86,90,17.22,AR,1600397493
Punta Arenas,-53.15,-70.92,30.2,86,43,25.28,CL,1600397398
Lusambo,-4.97,23.45,71.35,91,32,2.42,CD,1600397493
Souillac,-20.52,57.52,69.8,77,75,13.87,MU,1600397494
Sept-Îles,50.2,-66.38,28.4,86,5,2.24,CA,1600397342
Pisco,-13.7,-76.22,60.8,87,40,9.17,PE,1600397246
Les Cayes,18.2,-73.75,78.28,82,0,2.82,HT,1600397494
Barrow,71.29,-156.79,44.6,81,90,13.87,US,1600397494
Margate,-30.86,30.37,62.19,83,58,12.53,ZA,1600397495
Shakiso,5.75,38.92,55.4,88,43,1.16,ET,1600397495
Sebring,27.5,-81.44,80.6,88,1,5.82,US,1600397495
Saint Paul Harbor,57.79,-152.41,55.4,66,20,11.41,US,1600397409
Santa Isabel Rio Negro,-0.41,-65.02,73.83,96,33,1.23,BR,1600397496
New Norfolk,-42.78,147.06,60.01,54,0,1.01,AU,1600397496
Nara,15.17,-7.29,78.04,66,100,6.91,ML,1600397496
Bluff,-46.6,168.33,50.0,77,100,27.0,NZ,1600397450
Albany,-35.02,117.89,59.0,58,75,14.99,AU,1600397496
Hasaki,35.73,140.83,88.0,70,75,23.04,JP,1600397497
Pangnirtung,66.15,-65.71,33.42,79,2,4.45,CA,1600397497
Bredasdorp,-34.53,20.04,44.6,93,19,1.12,ZA,1600397497
Torbay,47.67,-52.73,64.0,82,75,19.46,CA,1600397497
Kiunga,-6.12,141.29,89.44,60,94,2.82,PG,1600397498
Merowe,18.48,31.82,91.17,17,19,6.85,SD,1600397498
Yulara,-25.24,130.99,66.2,42,0,11.41,AU,1600397498
Tiksi,71.69,128.87,51.12,66,75,21.39,RU,1600397498
Kumul,42.8,93.45,78.39,15,0,7.94,CN,1600397499
Kapaa,22.08,-159.32,86.0,62,40,13.87,US,1600397499
Miastko,54.0,16.98,46.0,83,28,5.53,PL,1600397499
Sioux Lookout,50.1,-91.92,33.8,86,20,2.24,CA,1600397499
