City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,-35.02,117.89,55.4,87,14,6.93,AU,1603054832
Ilulissat,69.22,-51.1,42.8,45,100,17.22,GL,1603054791
Bogdanovich,56.78,62.05,37.76,76,100,16.91,RU,1603054832
Ushuaia,-54.8,-68.3,41.0,80,75,29.97,AR,1603054362
Chabahar,25.29,60.64,77.7,27,0,12.08,IR,1603054833
Talnakh,69.49,88.4,15.8,92,90,6.71,RU,1603054833
Arraial do Cabo,-22.97,-42.03,73.4,73,40,16.11,BR,1603054834
Richards Bay,-28.78,32.04,71.96,79,98,13.94,ZA,1603054835
Leticia,-4.22,-69.94,84.2,79,75,4.7,CO,1603054835
Busselton,-33.65,115.33,57.99,57,0,8.19,AU,1603054189
Okhotsk,59.38,143.3,24.87,85,30,16.53,RU,1603054835
Biak,-0.91,122.88,76.01,81,94,5.5,ID,1603054836
Bambous Virieux,-20.34,57.76,73.4,78,40,11.41,MU,1603054836
Rikitea,-23.12,-134.97,74.86,81,100,18.5,PF,1603054375
Umluj,25.02,37.27,83.75,49,0,6.04,SA,1603054837
Cidreira,-30.18,-50.21,68.58,82,61,20.74,BR,1603054837
Ancud,-41.87,-73.82,55.0,71,75,16.11,CL,1603054838
Avarua,-21.21,-159.78,78.8,74,92,8.05,CK,1603054838
Lavrentiya,65.58,-171.0,36.3,86,23,4.5,RU,1603054838
Beloha,-25.17,45.05,65.25,83,0,12.19,MG,1603054838
Moerai,-22.43,-151.33,75.69,76,42,12.41,PF,1603054838
Banyo,6.75,11.82,66.16,82,42,3.58,CM,1603054839
Sechura,-5.56,-80.82,76.21,54,9,16.71,PE,1603054839
Grindavik,63.84,-22.43,42.8,81,20,23.04,IS,1603054839
Pangnirtung,66.15,-65.71,46.4,85,90,18.34,CA,1603054712
Cape Town,-33.93,18.42,61.0,82,20,13.87,ZA,1603054840
Kapaa,22.08,-159.32,84.0,78,1,11.41,US,1603054405
Olafsvik,64.89,-23.71,42.66,76,49,30.27,IS,1603054840
Punta Arenas,-53.15,-70.92,42.8,70,40,31.09,CL,1603054189
Thompson,55.74,-97.86,30.2,80,75,6.93,CA,1603054841
Hithadhoo,-0.6,73.08,83.35,76,100,14.9,MV,1603054841
Taksimo,56.34,114.88,25.25,95,100,1.3,RU,1603054842
Sampit,-2.53,112.95,72.86,99,92,2.13,ID,1603054842
Mount Isa,-20.73,139.5,78.8,31,0,8.05,AU,1603054842
Kavieng,-2.57,150.8,83.03,74,61,9.6,PG,1603054765
Vila Velha,-20.33,-40.29,69.8,94,90,4.7,BR,1603054843
Kichera,55.94,110.1,39.0,80,100,3.38,RU,1603054843
Mar del Plata,-38.0,-57.56,71.6,78,56,4.7,AR,1603054805
Pisco,-13.7,-76.22,66.2,77,90,8.05,PE,1603054843
Bengkulu,-3.8,102.27,74.86,93,100,5.97,ID,1603054844
Nikolskoye,59.7,30.79,37.4,86,90,6.71,RU,1603054432
Pauini,-7.71,-66.98,74.77,95,100,3.24,BR,1603054844
Grants,35.15,-107.85,78.8,9,1,9.17,US,1603054844
Dwārka,22.24,68.97,83.57,80,29,9.98,IN,1603054845
Rabo de Peixe,37.8,-25.58,59.0,62,20,8.05,PT,1603054845
Turtas,58.94,69.13,29.55,97,100,7.31,RU,1603054856
Mount Gambier,-37.83,140.77,48.2,100,90,3.36,AU,1603054856
Nuuk,64.18,-51.72,53.6,50,40,20.8,GL,1603054856
Angoche,-16.23,39.91,72.73,86,2,5.77,MZ,1603054857
Georgetown,-7.93,-14.42,74.28,75,33,11.81,SH,1603054416
Bulawayo,-20.15,28.58,73.27,29,0,6.96,ZW,1603054857
Salalah,17.02,54.09,78.8,34,0,4.7,OM,1603054858
Pacific Grove,36.62,-121.92,82.99,41,1,6.49,US,1603054858
Guerrero Negro,27.98,-114.06,83.46,44,95,12.01,MX,1603054858
Palmer,42.16,-72.33,62.6,39,75,4.7,US,1603054825
Touros,-5.2,-35.46,80.6,69,20,12.75,BR,1603054859
Humaitá,-7.51,-63.02,91.09,50,99,4.29,BR,1603054859
Dikson,73.51,80.55,27.95,90,99,29.91,RU,1603054858
Bredasdorp,-34.53,20.04,60.8,77,100,1.12,ZA,1603054410
Lompoc,34.64,-120.46,75.2,60,1,13.87,US,1603054742
West Plains,36.73,-91.85,68.0,64,90,9.17,US,1603054859
Port Lincoln,-34.73,135.87,53.19,77,28,7.05,AU,1603054860
Mahébourg,-20.41,57.7,73.4,78,40,11.41,MU,1603054771
Klaksvík,62.23,-6.59,39.2,93,100,6.93,FO,1603054860
Puerto Ayora,-0.74,-90.35,80.6,65,20,23.04,EC,1603054380
Hokitika,-42.72,170.97,52.75,93,100,9.69,NZ,1603054862
Jamestown,-15.94,-5.72,61.61,95,100,15.66,SH,1603054731
Aklavik,68.22,-135.01,15.8,72,5,3.36,CA,1603054718
Rognan,67.1,15.39,28.0,81,6,2.24,NO,1603054862
Valka,57.78,26.01,36.0,93,49,4.0,LV,1603054862
Senanga,-16.12,23.27,74.32,20,0,5.35,ZM,1603054862
Chui,-33.7,-53.46,72.48,70,0,7.63,UY,1603054862
Sola,-13.88,167.55,79.48,78,27,20.62,VU,1603054863
Trélazé,47.45,-0.47,46.0,93,100,2.24,FR,1603054863
Kyzyl-Suu,42.34,78.01,43.63,48,0,5.5,KG,1603054863
Sterling,39.01,-77.43,64.4,48,75,10.29,US,1603054721
Kota Belud,6.35,116.43,75.2,88,20,4.7,MY,1603054864
Coquimbo,-29.95,-71.34,60.8,72,20,11.41,CL,1603054864
Ajdabiya,30.76,20.23,73.63,74,100,16.04,LY,1603054865
Takoradze,4.88,-1.76,77.38,89,23,7.63,GH,1603054865
Bac Lieu,9.29,105.72,77.68,86,100,4.27,VN,1603054865
Broome,-17.97,122.23,77.0,78,100,11.41,AU,1603054866
Ambon City,-3.7,128.18,79.0,94,52,7.67,ID,1603054866
Saskylakh,71.92,114.08,20.59,97,100,6.6,RU,1603054866
Corpus Christi,27.8,-97.4,88.0,62,1,16.11,US,1603054867
Tshikapa,-6.42,20.8,71.04,92,100,2.48,CD,1603054867
Hobart,-42.88,147.33,51.01,66,75,4.12,AU,1603054635
Zyryanka,65.75,150.85,19.47,92,95,1.45,RU,1603054779
Bluff,-46.6,168.33,48.0,96,100,1.99,NZ,1603054196
Virovitica,45.83,17.38,44.51,86,0,1.45,HR,1603054867
Dali,25.7,100.18,58.14,89,98,3.04,CN,1603054878
Palana,59.12,159.97,34.61,100,100,11.79,RU,1603054878
Vostok,46.49,135.88,23.2,92,0,3.91,RU,1603054833
Butaritari,3.07,172.79,82.11,72,100,18.86,KI,1603054878
Arrondissement de Meaux,48.92,3.0,51.01,86,73,1.81,FR,1603054878
Seymchan,62.88,152.43,20.21,85,89,0.96,RU,1603054878
Komsomol'skiy,43.98,46.7,55.96,94,0,0.94,RU,1603054879
Zhengjiatun,43.51,123.51,45.27,56,75,10.22,CN,1603054879
Lagoa,39.05,-27.98,62.89,73,54,21.41,PT,1603054377
Banepā,27.63,85.52,64.4,93,20,1.81,NP,1603054879
Jacareacanga,-6.22,-57.75,92.39,44,62,1.66,BR,1603054879
Hilo,19.73,-155.09,77.0,83,90,9.17,US,1603054806
Saint-Augustin,51.23,-58.65,50.43,60,0,4.74,CA,1603054880
Salinas,-2.22,-80.97,75.2,78,90,13.87,EC,1603054880
Millinocket,45.66,-68.71,55.4,43,1,6.93,US,1603054880
Longyearbyen,78.22,15.64,26.6,73,20,8.05,SJ,1603054880
Pimentel,-6.84,-79.93,71.6,60,28,24.16,PE,1603054881
Alice Springs,-23.7,133.88,71.6,40,79,14.99,AU,1603054881
Karratha,-20.74,116.85,62.44,90,0,10.69,AU,1603054431
Sitka,57.05,-135.33,42.8,70,90,11.41,US,1603054881
Tūkrah,32.53,20.58,71.42,77,100,15.23,LY,1603054881
Constantine,36.37,6.61,53.6,71,0,4.7,DZ,1603054842
Areia Branca,-4.96,-37.14,80.62,75,92,24.76,BR,1603054881
Faanui,-16.48,-151.75,79.45,79,39,8.72,PF,1603054878
Horsham,-36.72,142.2,45.12,92,0,4.45,AU,1603054587
Labuhan,-6.88,112.21,78.21,82,67,6.69,ID,1603054882
Mossamedes,-15.2,12.15,69.46,74,16,3.56,AO,1603054882
Taoudenni,22.68,-3.98,84.51,15,0,10.58,ML,1603054882
Castro,-42.47,-73.77,55.0,71,75,16.11,CL,1603054882
Ponta do Sol,17.2,-25.09,82.4,78,75,11.41,CV,1603054673
New Norfolk,-42.78,147.06,51.01,74,89,2.28,AU,1603054413
Tonantins,-2.87,-67.8,84.11,75,100,1.88,BR,1603054883
Katsuura,35.13,140.3,57.2,76,75,8.05,JP,1603054761
Rodeo,25.18,-104.55,87.01,19,0,9.1,MX,1603054883
Port Hardy,50.7,-127.42,48.2,100,90,10.29,CA,1603054883
Pevek,69.7,170.31,24.26,94,97,16.93,RU,1603054883
Paamiut,61.99,-49.67,42.4,84,45,36.86,GL,1603054884
Samandağ,36.08,35.98,73.4,78,40,4.7,TR,1603054884
Da Lat,11.95,108.44,60.28,100,100,2.04,VN,1603054884
Bambanglipuro,-7.95,110.28,75.99,89,97,7.25,ID,1603054884
Bud,62.91,6.91,37.4,86,75,5.82,NO,1603054884
Iskateley,67.68,53.15,28.49,96,30,1.25,RU,1603054884
Coahuayana Viejo,18.73,-103.68,82.4,74,75,6.15,MX,1603054787
Borogontsy,62.67,131.17,12.36,96,92,4.9,RU,1603054885
Vattalkundu,10.17,77.77,78.8,78,75,2.08,IN,1603054885
De Haan,51.27,3.04,51.8,81,75,6.93,BE,1603054885
Bakchar,57.02,82.07,29.46,92,73,10.02,RU,1603054885
Saint-Philippe,-21.36,55.77,73.4,68,9,3.36,RE,1603054862
